PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,PARK_FACIL,BUILDTYPE,STREET,SALES_PRICE
P03210,Karapakkam,1004,131,1,1,Yes,Commercial,Paved,7600000
P09411,Anna Nagar,1986,26,2,1,No,Commercial,Gravel,21717770
P01812,Adyar,909,70,1,1,Yes,Commercial,Gravel,13159200
P05346,Velachery,1855,14,3,2,No,Others,Paved,9630290
P06210,Karapakkam,1226,84,1,1,Yes,Others,Gravel,7406250
P00219,Chrompet,1220,36,2,1,No,Commercial,No Access,12394750
P09105,Chrompet,1167,137,1,1,No,Other,No Access,8488790
P09679,Velachery,1847,176,3,2,No,Commercial,Gravel,16800250
P03377,Chrompet,771,175,1,1,No,Others,Paved,8308970
P09623,Velachery,1635,74,2,1,No,Others,No Access,8083650
P09540,Chrompet,1203,78,2,1,Yes,Commercial,No Access,14938000
P07121,Chrompet,1054,143,1,1,No,Others,Gravel,9449730
P05512,Chrompet,1196,137,1,1,No,Others,No Access,8774370
P09370,Adyar,1056,83,1,1,Yes,Others,Paved,9386490
P04085,Velachery,1865,157,3,2,No,Commercial,Paved,15499680
P06328,Velachery,1868,148,3,2,No,Commercial,Gravel,15714080
P06039,Karapakkam,1639,175,2,2,Yes,House,Gravel,8656000
P02016,Chrompet,796,134,1,1,Yes,Commercial,No Access,10912550
P08160,Adyar,1136,69,1,1,Yes,Others,Paved,8287550
P01372,Anna Nagar,1902,168,2,1,Yes,Commercial,Paved,21203240
P00936,Chrompet,1069,53,1,1,Yes,Others,Paved,10905530
P07346,Chrompet,931,96,1,1,Yes,Others,Paved,9185970
P06851,KK Nagar,2010,114,3,2,No,Others,Gravel,10925400
P04665,Chrompet,1074,100,1,1,No,Others,Gravel,9627380
P00902,TNagar,1972,111,2,1,No,Others,No Access,13922760
P00293,T Nagar,1685,105,1,1,No,House,Gravel,12601080
P02235,Adyar,1130,29,1,1,Yes,Commercial,Paved,13383350
P04080,Karapakkam,1301,59,1,1,Yes,Others,Gravel,7939625
P02677,Adyar,730,185,1,1,Yes,House,Gravel,8848285
P00755,T Nagar,1806,138,2,1,No,House,Paved,11338200
P06980,Anna Nagar,1981,173,2,1,No,House,No Access,12872430
P02696,Adyar,868,15,1,1,No,Others,Gravel,9042050
P01517,T Nagar,1721,117,1,1,Yes,Others,Paved,14874380
P09650,Velachery,1755,16,2,1,Yes,Others,Gravel,10222380
P05950,Anna Nagar,1709,130,1,1,No,Others,Gravel,12928590
P05051,KK Nagar,2114,46,3,2,Yes,Commercial,Gravel,17564820
P04978,Karapakkam,1226,180,1,1,No,House,Paved,4971250
P03704,Velachery,1648,111,2,1,Yes,Others,Paved,9170660
P02247,Chrompet,856,36,1,1,Yes,Others,Gravel,10383420
P07194,Adyar,904,52,1,1,No,Commercial,No Access,11601400
